TIME=1167872504410339,TENTATIVE=1681.4
TIME=1167872504412934,TENTATIVE=1314.52
TIME=1167872504415625,TENTATIVE=1243.46
TIME=1167872504418318,TENTATIVE=1179.87
TIME=1167872504420914,TENTATIVE=1130.06
TIME=1167872504423614,TENTATIVE=1076.55
TIME=1167872504426297,TENTATIVE=1029.5
TIME=1167872504428892,TENTATIVE=991.499
TIME=1167872504431590,TENTATIVE=950.297
TIME=1167872504434275,TENTATIVE=912.595
TIME=1167872504436869,TENTATIVE=883.007
TIME=1167872504439561,TENTATIVE=850.363
TIME=1167872504442250,TENTATIVE=820.219
TIME=1167872504444846,TENTATIVE=795.674
TIME=1167872504447537,TENTATIVE=769.448
TIME=1167872504450231,TENTATIVE=744.401
TIME=1167872504452826,TENTATIVE=724.328
TIME=1167872504455519,TENTATIVE=702.027
TIME=1167872504458214,TENTATIVE=681.413
TIME=1167872504460807,TENTATIVE=664.612
TIME=1167872504463496,TENTATIVE=646.055
TIME=1167872504466192,TENTATIVE=628.204
TIME=1167872504468784,TENTATIVE=614.136
TIME=1167872504471474,TENTATIVE=598.212
TIME=1167872504474167,TENTATIVE=583.048
TIME=1167872504476762,TENTATIVE=570.579
TIME=1167872504479452,TENTATIVE=556.926
TIME=1167872504482145,TENTATIVE=543.761
TIME=1167872504484741,TENTATIVE=532.972
TIME=1167872504487432,TENTATIVE=520.833
TIME=1167872504490125,TENTATIVE=509.401
TIME=1167872504492720,TENTATIVE=499.952
TIME=1167872504495410,TENTATIVE=489.347
TIME=1167872504498103,TENTATIVE=479.095
TIME=1167872504500699,TENTATIVE=470.757
TIME=1167872504503387,TENTATIVE=461.397
TIME=1167872504506092,TENTATIVE=452.168
TIME=1167872504508677,TENTATIVE=444.733
TIME=1167872504511367,TENTATIVE=436.394
TIME=1167872504514076,TENTATIVE=428.082
TIME=1167872504516655,TENTATIVE=421.571
TIME=1167872504519346,TENTATIVE=413.94
TIME=1167872504522037,TENTATIVE=406.686
TIME=1167872504524634,TENTATIVE=400.6
TIME=1167872504527324,TENTATIVE=393.822
TIME=1167872504530016,TENTATIVE=387.193
TIME=1167872504532617,TENTATIVE=381.58
TIME=1167872504535305,TENTATIVE=375.461
TIME=1167872504537994,TENTATIVE=369.483
TIME=1167872504540592,TENTATIVE=364.419
TIME=1167872504543282,TENTATIVE=358.735
TIME=1167872504545975,TENTATIVE=353.274
TIME=1167872504548569,TENTATIVE=348.72
TIME=1167872504551258,TENTATIVE=343.542
TIME=1167872504553951,TENTATIVE=338.457
TIME=1167872504556548,TENTATIVE=334.274
TIME=1167872504559237,TENTATIVE=329.514
TIME=1167872504561931,TENTATIVE=324.833
TIME=1167872504564529,TENTATIVE=320.9
TIME=1167872504567216,TENTATIVE=316.574
TIME=1167872504569910,TENTATIVE=312.264
TIME=1167872504572505,TENTATIVE=308.675
TIME=1167872504575195,TENTATIVE=304.588
TIME=1167872504577888,TENTATIVE=300.642
TIME=1167872504580494,TENTATIVE=297.247
TIME=1167872504583174,TENTATIVE=293.521
TIME=1167872504585867,TENTATIVE=289.79
TIME=1167872504588462,TENTATIVE=286.739
TIME=1167872504591154,TENTATIVE=283.209
TIME=1167872504593845,TENTATIVE=279.774
TIME=1167872504596440,TENTATIVE=276.92
TIME=1167872504599129,TENTATIVE=273.654
TIME=1167872504601824,TENTATIVE=270.428
TIME=1167872504604418,TENTATIVE=267.741
TIME=1167872504607111,TENTATIVE=264.634
TIME=1167872504609801,TENTATIVE=261.659
TIME=1167872504612398,TENTATIVE=259.135
TIME=1167872504615094,TENTATIVE=256.231
TIME=1167872504617782,TENTATIVE=253.4
TIME=1167872504620376,TENTATIVE=251.064
TIME=1167872504623067,TENTATIVE=248.354
TIME=1167872504625770,TENTATIVE=245.662
TIME=1167872504628354,TENTATIVE=243.459
TIME=1167872504631046,TENTATIVE=240.931
TIME=1167872504633737,TENTATIVE=238.434
TIME=1167872504636334,TENTATIVE=236.386
TIME=1167872504639022,TENTATIVE=233.988
TIME=1167872504641718,TENTATIVE=231.605
TIME=1167872504644312,TENTATIVE=229.658
TIME=1167872504647002,TENTATIVE=227.395
TIME=1167872504649693,TENTATIVE=225.169
TIME=1167872504652292,TENTATIVE=223.265
TIME=1167872504654981,TENTATIVE=221.156
TIME=1167872504657673,TENTATIVE=219.044
TIME=1167872504660268,TENTATIVE=217.278
TIME=1167872504662972,TENTATIVE=215.198
TIME=1167872504665651,TENTATIVE=213.261
TIME=1167872504668247,TENTATIVE=211.582
TIME=1167872504670946,TENTATIVE=209.625
TIME=1167872504673630,TENTATIVE=207.743
TIME=1167872504676226,TENTATIVE=206.159
TIME=1167872504678918,TENTATIVE=204.328
TIME=1167872504681608,TENTATIVE=202.534
TIME=1167872504684204,TENTATIVE=201.008
TIME=1167872504686895,TENTATIVE=199.287
TIME=1167872504689587,TENTATIVE=197.581
TIME=1167872504692184,TENTATIVE=196.128
TIME=1167872504694872,TENTATIVE=194.475
TIME=1167872504697568,TENTATIVE=192.859
TIME=1167872504700161,TENTATIVE=191.493
TIME=1167872504702851,TENTATIVE=189.912
TIME=1167872504705550,TENTATIVE=188.33
TIME=1167872504708140,TENTATIVE=187.05
TIME=1167872504710830,TENTATIVE=185.55
TIME=1167872504713523,TENTATIVE=184.061
TIME=1167872504716120,TENTATIVE=182.787
TIME=1167872504718808,TENTATIVE=181.375
TIME=1167872504721503,TENTATIVE=179.956
TIME=1167872504724098,TENTATIVE=178.799
TIME=1167872504726788,TENTATIVE=177.376
TIME=1167872504729480,TENTATIVE=176.015
TIME=1167872504732078,TENTATIVE=174.877
TIME=1167872504734766,TENTATIVE=173.565
TIME=1167872504737459,TENTATIVE=172.269
TIME=1167872504740054,TENTATIVE=171.156
TIME=1167872504742754,TENTATIVE=169.896
TIME=1167872504745449,TENTATIVE=168.65
TIME=1167872504748033,TENTATIVE=167.619
TIME=1167872504750724,TENTATIVE=166.4
TIME=1167872504753415,TENTATIVE=165.215
TIME=1167872504756012,TENTATIVE=164.205
TIME=1167872504758702,TENTATIVE=163.048
TIME=1167872504761394,TENTATIVE=161.89
TIME=1167872504763991,TENTATIVE=160.927
TIME=1167872504766680,TENTATIVE=159.816
TIME=1167872504769371,TENTATIVE=158.713
TIME=1167872504771973,TENTATIVE=157.762
TIME=1167872504774657,TENTATIVE=156.712
TIME=1167872504777352,TENTATIVE=155.648
TIME=1167872504779948,TENTATIVE=154.749
TIME=1167872504782637,TENTATIVE=153.718
TIME=1167872504785329,TENTATIVE=152.709
TIME=1167872504787926,TENTATIVE=151.843
TIME=1167872504790614,TENTATIVE=150.85
TIME=1167872504793309,TENTATIVE=149.853
TIME=1167872504795905,TENTATIVE=149.03
TIME=1167872504798594,TENTATIVE=148.079
TIME=1167872504801288,TENTATIVE=147.132
TIME=1167872504803883,TENTATIVE=146.32
