DEBUG: connect from 128.223.6.113:38537
DEBUG: (send client!) connect from 130.49.221.40:50753
BLOCKTIME(e): 775 at 1160432937.774109
BLOCKTIME(e): 746 at 1160432937.872781
BLOCKTIME(e): 831 at 1160432937.982333
BLOCKTIME(e): 743 at 1160432937.983373
BLOCKTIME(e): 830 at 1160432938.086655
BLOCKTIME(e): 782 at 1160432938.089722
BLOCKTIME(e): 747 at 1160432938.094750
BLOCKTIME(e): 7647 at 1160432938.137681
BLOCKTIME(e): 1034 at 1160432938.196502
BLOCKTIME(e): 742 at 1160432938.197523
BLOCKTIME(e): 781 at 1160432938.201386
BLOCKTIME(e): 745 at 1160432938.240932
BLOCKTIME(e): 862 at 1160432938.303731
BLOCKTIME(e): 846 at 1160432938.304881
BLOCKTIME(e): 743 at 1160432938.310200
BLOCKTIME(e): 745 at 1160432938.347978
BLOCKTIME(e): 856 at 1160432938.412577
BLOCKTIME(e): 762 at 1160432938.413630
BLOCKTIME(e): 744 at 1160432938.425036
BLOCKTIME(e): 744 at 1160432938.496635
BLOCKTIME(e): 831 at 1160432938.520599
BLOCKTIME(e): 791 at 1160432938.523086
BLOCKTIME(e): 1399 at 1160432938.532895
BLOCKTIME(e): 877 at 1160432938.626711
BLOCKTIME(e): 765 at 1160432938.627843
BLOCKTIME(e): 722 at 1160432938.630378
BLOCKTIME(e): 25125 at 1160432938.680027
BLOCKTIME(e): 1793 at 1160432938.737882
BLOCKTIME(e): 1601 at 1160432938.739845
BLOCKTIME(e): 865 at 1160432938.741374
BLOCKTIME(e): 746 at 1160432938.783528
BLOCKTIME(e): 744 at 1160432938.844553
BLOCKTIME(e): 744 at 1160432938.848929
BLOCKTIME(e): 774 at 1160432938.853221
BLOCKTIME(e): 971 at 1160432938.890932
BLOCKTIME(e): 746 at 1160432938.960927
BLOCKTIME(e): 861 at 1160432938.962048
BLOCKTIME(e): 868 at 1160432938.963195
BLOCKTIME(e): 723 at 1160432939.056285
BLOCKTIME(e): 897 at 1160432939.068615
BLOCKTIME(e): 769 at 1160432939.069866
BLOCKTIME(e): 796 at 1160432939.071006
BLOCKTIME(e): 744 at 1160432939.149006
BLOCKTIME(e): 959 at 1160432939.178164
BLOCKTIME(e): 861 at 1160432939.179411
BLOCKTIME(e): 743 at 1160432939.180421
BLOCKTIME(e): 745 at 1160432939.282264
BLOCKTIME(e): 745 at 1160432939.284951
