DEBUG: connect from 10.1.1.3:32782
DEBUG: (send client!) connect from 10.1.1.4:32782
BLOCKTIME(e): 370 at 1160435296.371064
BLOCKTIME(e): 352 at 1160435296.475117
BLOCKTIME(e): 367 at 1160435296.582659
BLOCKTIME(e): 352 at 1160435296.697109
BLOCKTIME(e): 360 at 1160435296.697539
BLOCKTIME(e): 352 at 1160435296.697961
BLOCKTIME(e): 352 at 1160435296.883615
BLOCKTIME(e): 352 at 1160435296.888607
BLOCKTIME(e): 352 at 1160435297.006121
BLOCKTIME(e): 352 at 1160435297.090609
BLOCKTIME(e): 352 at 1160435297.116123
BLOCKTIME(e): 352 at 1160435297.201612
BLOCKTIME(e): 352 at 1160435297.226110
BLOCKTIME(e): 352 at 1160435297.307122
BLOCKTIME(e): 352 at 1160435297.337111
BLOCKTIME(e): 352 at 1160435297.418113
BLOCKTIME(e): 352 at 1160435297.476115
BLOCKTIME(e): 352 at 1160435297.530114
BLOCKTIME(e): 352 at 1160435297.544618
BLOCKTIME(e): 352 at 1160435297.633620
BLOCKTIME(e): 352 at 1160435297.649130
BLOCKTIME(e): 352 at 1160435297.736619
BLOCKTIME(e): 352 at 1160435297.749119
BLOCKTIME(e): 352 at 1160435297.826122
BLOCKTIME(e): 352 at 1160435297.851120
BLOCKTIME(e): 353 at 1160435297.923623
BLOCKTIME(e): 352 at 1160435297.954623
BLOCKTIME(e): 352 at 1160435297.966125
BLOCKTIME(e): 352 at 1160435298.054627
BLOCKTIME(e): 352 at 1160435298.068126
BLOCKTIME(e): 352 at 1160435298.138627
BLOCKTIME(e): 352 at 1160435298.168626
BLOCKTIME(e): 352 at 1160435298.234129
BLOCKTIME(e): 352 at 1160435298.261630
BLOCKTIME(e): 352 at 1160435298.280630
BLOCKTIME(e): 352 at 1160435298.351628
BLOCKTIME(e): 352 at 1160435298.372631
BLOCKTIME(e): 352 at 1160435298.392632
BLOCKTIME(e): 352 at 1160435298.463634
BLOCKTIME(e): 352 at 1160435298.485132
BLOCKTIME(e): 352 at 1160435298.552133
BLOCKTIME(e): 352 at 1160435298.567635
BLOCKTIME(e): 353 at 1160435298.597138
BLOCKTIME(e): 365 at 1160435298.663162
BLOCKTIME(e): 351 at 1160435298.677635
BLOCKTIME(e): 352 at 1160435298.701146
BLOCKTIME(e): 352 at 1160435298.767650
BLOCKTIME(e): 352 at 1160435298.788637
BLOCKTIME(e): 352 at 1160435298.811637
BLOCKTIME(e): 352 at 1160435298.872149
BLOCKTIME(e): 352 at 1160435298.899641
BLOCKTIME(e): 352 at 1160435298.909141
BLOCKTIME(e): 352 at 1160435298.975143
BLOCKTIME(e): 352 at 1160435299.002640
BLOCKTIME(e): 352 at 1160435299.015652
BLOCKTIME(e): 352 at 1160435299.132160
BLOCKTIME(e): 361 at 1160435299.132591
BLOCKTIME(e): 375 at 1160435299.133039
BLOCKTIME(e): 352 at 1160435299.191644
BLOCKTIME(e): 352 at 1160435299.293650
BLOCKTIME(e): 352 at 1160435299.340149
