DEBUG: connect from 10.1.1.3:32782
DEBUG: (send client!) connect from 10.1.1.4:32782
BLOCKTIME(e): 1819 at 1160438142.338204
BLOCKTIME(e): 1905 at 1160438142.442917
BLOCKTIME(e): 1803 at 1160438142.655841
BLOCKTIME(e): 1758 at 1160438142.657929
BLOCKTIME(e): 1936 at 1160438142.765148
BLOCKTIME(e): 1775 at 1160438142.767234
BLOCKTIME(e): 1774 at 1160438142.869678
BLOCKTIME(e): 1943 at 1160438142.871919
BLOCKTIME(e): 1866 at 1160438142.874072
BLOCKTIME(e): 1900 at 1160438142.876240
BLOCKTIME(e): 1767 at 1160438142.878280
BLOCKTIME(e): 1787 at 1160438142.976322
BLOCKTIME(e): 1777 at 1160438142.978485
BLOCKTIME(e): 1928 at 1160438142.980670
BLOCKTIME(e): 1774 at 1160438142.987343
BLOCKTIME(e): 1798 at 1160438143.107257
BLOCKTIME(e): 1811 at 1160438143.109504
BLOCKTIME(e): 1875 at 1160438143.111688
BLOCKTIME(e): 1777 at 1160438143.113747
BLOCKTIME(e): 1882 at 1160438143.115909
BLOCKTIME(e): 1850 at 1160438143.118044
BLOCKTIME(e): 1826 at 1160438143.125087
BLOCKTIME(e): 1777 at 1160438143.204072
BLOCKTIME(e): 1770 at 1160438143.224401
BLOCKTIME(e): 1785 at 1160438143.247972
BLOCKTIME(e): 1801 at 1160438143.315907
BLOCKTIME(e): 1770 at 1160438143.336947
BLOCKTIME(e): 1773 at 1160438143.407524
BLOCKTIME(e): 1805 at 1160438143.429345
BLOCKTIME(e): 1778 at 1160438143.450710
BLOCKTIME(e): 1809 at 1160438143.519909
BLOCKTIME(e): 1807 at 1160438143.542941
BLOCKTIME(e): 1837 at 1160438143.554969
BLOCKTIME(e): 1780 at 1160438143.631265
BLOCKTIME(e): 1791 at 1160438143.655502
BLOCKTIME(e): 1762 at 1160438143.661553
BLOCKTIME(e): 1817 at 1160438143.735428
BLOCKTIME(e): 1851 at 1160438143.759695
BLOCKTIME(e): 1778 at 1160438143.771685
BLOCKTIME(e): 1769 at 1160438143.780298
BLOCKTIME(e): 1776 at 1160438143.852815
BLOCKTIME(e): 1847 at 1160438143.878174
BLOCKTIME(e): 1893 at 1160438143.888994
BLOCKTIME(e): 1857 at 1160438144.059793
BLOCKTIME(e): 1778 at 1160438144.061908
BLOCKTIME(e): 1768 at 1160438144.063965
BLOCKTIME(e): 1784 at 1160438144.066035
BLOCKTIME(e): 1759 at 1160438144.099850
BLOCKTIME(e): 1788 at 1160438144.192644
BLOCKTIME(e): 1843 at 1160438144.265742
BLOCKTIME(e): 1771 at 1160438144.296857
BLOCKTIME(e): 1773 at 1160438144.378555
BLOCKTIME(e): 1765 at 1160438144.408344
BLOCKTIME(e): 1775 at 1160438144.482776
BLOCKTIME(e): 1760 at 1160438144.511407
BLOCKTIME(e): 1820 at 1160438144.588780
BLOCKTIME(e): 1784 at 1160438144.615554
BLOCKTIME(e): 1781 at 1160438144.692853
BLOCKTIME(e): 1852 at 1160438144.719939
BLOCKTIME(e): 1765 at 1160438144.758157
BLOCKTIME(e): 1830 at 1160438144.818434
BLOCKTIME(e): 1787 at 1160438144.834595
BLOCKTIME(e): 1777 at 1160438144.909677
BLOCKTIME(e): 1884 at 1160438144.938766
BLOCKTIME(e): 1820 at 1160438145.004832
BLOCKTIME(e): 1805 at 1160438145.037317
BLOCKTIME(e): 1802 at 1160438145.071844
BLOCKTIME(e): 1777 at 1160438145.119715
BLOCKTIME(e): 1778 at 1160438145.153439
BLOCKTIME(e): 1808 at 1160438145.221438
BLOCKTIME(e): 1761 at 1160438145.243457
BLOCKTIME(e): 1766 at 1160438145.268062
BLOCKTIME(e): 1780 at 1160438145.334995
BLOCKTIME(e): 1810 at 1160438145.361561
BLOCKTIME(e): 1810 at 1160438145.429588
BLOCKTIME(e): 1770 at 1160438145.451816
BLOCKTIME(e): 1780 at 1160438145.475285
BLOCKTIME(e): 1777 at 1160438145.542076
BLOCKTIME(e): 1776 at 1160438145.567394
BLOCKTIME(e): 1777 at 1160438145.601905
BLOCKTIME(e): 1764 at 1160438145.653470
BLOCKTIME(e): 1812 at 1160438145.672882
BLOCKTIME(e): 1775 at 1160438145.706123
BLOCKTIME(e): 1792 at 1160438145.765985
BLOCKTIME(e): 1771 at 1160438145.786503
BLOCKTIME(e): 1823 at 1160438145.810181
BLOCKTIME(e): 1774 at 1160438145.869110
BLOCKTIME(e): 1767 at 1160438145.883122
BLOCKTIME(e): 1799 at 1160438145.914152
BLOCKTIME(e): 1807 at 1160438145.973111
BLOCKTIME(e): 1854 at 1160438145.987213
BLOCKTIME(e): 1790 at 1160438146.005448
BLOCKTIME(e): 1774 at 1160438146.062741
BLOCKTIME(e): 1777 at 1160438146.090408
BLOCKTIME(e): 1781 at 1160438146.105525
BLOCKTIME(e): 1781 at 1160438146.155738
BLOCKTIME(e): 1801 at 1160438146.193217
BLOCKTIME(e): 1809 at 1160438146.208290
BLOCKTIME(e): 1810 at 1160438146.259659
BLOCKTIME(e): 1776 at 1160438146.294957
BLOCKTIME(e): 1762 at 1160438146.309993
BLOCKTIME(e): 1773 at 1160438146.338891
BLOCKTIME(e): 1785 at 1160438146.374949
BLOCKTIME(e): 1767 at 1160438146.410942
BLOCKTIME(e): 1785 at 1160438146.425024
BLOCKTIME(e): 1808 at 1160438146.468990
BLOCKTIME(e): 1808 at 1160438146.512563
BLOCKTIME(e): 1803 at 1160438146.527519
BLOCKTIME(e): 1780 at 1160438146.548050
BLOCKTIME(e): 1774 at 1160438146.583777
BLOCKTIME(e): 1766 at 1160438146.628477
BLOCKTIME(e): 1845 at 1160438146.641248
BLOCKTIME(e): 1775 at 1160438146.660871
BLOCKTIME(e): 1779 at 1160438146.710249
BLOCKTIME(e): 1804 at 1160438146.740845
BLOCKTIME(e): 1801 at 1160438146.757100
BLOCKTIME(e): 1762 at 1160438146.789606
BLOCKTIME(e): 1761 at 1160438146.816705
BLOCKTIME(e): 1776 at 1160438146.853344
BLOCKTIME(e): 1777 at 1160438146.869797
BLOCKTIME(e): 1777 at 1160438146.903409
BLOCKTIME(e): 1781 at 1160438146.939711
BLOCKTIME(e): 1888 at 1160438146.966079
BLOCKTIME(e): 1770 at 1160438146.975271
BLOCKTIME(e): 1772 at 1160438147.007626
BLOCKTIME(e): 1778 at 1160438147.043935
BLOCKTIME(e): 1764 at 1160438147.063107
BLOCKTIME(e): 1821 at 1160438147.081456
BLOCKTIME(e): 1762 at 1160438147.113125
BLOCKTIME(e): 1764 at 1160438147.147036
BLOCKTIME(e): 1799 at 1160438147.175599
BLOCKTIME(e): 1781 at 1160438147.192799
BLOCKTIME(e): 1770 at 1160438147.214668
BLOCKTIME(e): 1762 at 1160438147.250966
BLOCKTIME(e): 1766 at 1160438147.270993
BLOCKTIME(e): 1776 at 1160438147.291547
BLOCKTIME(e): 1833 at 1160438147.318763
BLOCKTIME(e): 1814 at 1160438147.354905
BLOCKTIME(e): 1814 at 1160438147.375057
BLOCKTIME(e): 1776 at 1160438147.394500
BLOCKTIME(e): 1771 at 1160438147.413244
BLOCKTIME(e): 1781 at 1160438147.441587
BLOCKTIME(e): 1773 at 1160438147.476873
BLOCKTIME(e): 1765 at 1160438147.493488
BLOCKTIME(e): 1762 at 1160438147.509370
BLOCKTIME(e): 1764 at 1160438147.543289
BLOCKTIME(e): 1807 at 1160438147.573914
BLOCKTIME(e): 1767 at 1160438147.596302
BLOCKTIME(e): 1853 at 1160438147.613354
BLOCKTIME(e): 1762 at 1160438147.629951
BLOCKTIME(e): 1775 at 1160438147.675542
BLOCKTIME(e): 1760 at 1160438147.697970
BLOCKTIME(e): 1811 at 1160438147.714046
BLOCKTIME(e): 1778 at 1160438147.728175
BLOCKTIME(e): 1775 at 1160438147.758723
BLOCKTIME(e): 1805 at 1160438147.791522
BLOCKTIME(e): 1803 at 1160438147.813960
BLOCKTIME(e): 1802 at 1160438147.830015
BLOCKTIME(e): 1776 at 1160438147.840908
BLOCKTIME(e): 1774 at 1160438147.883884
BLOCKTIME(e): 1779 at 1160438147.908792
BLOCKTIME(e): 1805 at 1160438147.928752
BLOCKTIME(e): 1784 at 1160438147.946080
BLOCKTIME(e): 1803 at 1160438148.070972
BLOCKTIME(e): 1767 at 1160438148.073113
BLOCKTIME(e): 1790 at 1160438148.075190
BLOCKTIME(e): 1769 at 1160438148.077227
BLOCKTIME(e): 1770 at 1160438148.079286
BLOCKTIME(e): 1772 at 1160438148.101660
BLOCKTIME(e): 1774 at 1160438148.145272
BLOCKTIME(e): 1763 at 1160438148.174082
BLOCKTIME(e): 1776 at 1160438148.239690
BLOCKTIME(e): 1775 at 1160438148.265654
BLOCKTIME(e): 1790 at 1160438148.323836
BLOCKTIME(e): 1810 at 1160438148.369585
BLOCKTIME(e): 1766 at 1160438148.418446
BLOCKTIME(e): 1774 at 1160438148.446782
BLOCKTIME(e): 1767 at 1160438148.484323
BLOCKTIME(e): 1807 at 1160438148.533239
BLOCKTIME(e): 1808 at 1160438148.577627
BLOCKTIME(e): 1812 at 1160438148.633768
BLOCKTIME(e): 1785 at 1160438148.654823
BLOCKTIME(e): 1809 at 1160438148.691418
